Date,two_year,ten_year
9/28/2022,4.1328,3.7692
9/27/2022,4.308,3.963
9/26/2022,4.315,3.88
9/23/2022,4.214,3.697
9/22/2022,4.127,3.708
9/21/2022,3.995,3.512
9/20/2022,3.964,3.573
9/19/2022,3.946,3.489
9/16/2022,3.859,3.447
9/15/2022,3.873,3.459
9/14/2022,3.782,3.412
9/13/2022,3.756,3.423
9/12/2022,3.571,3.362
9/9/2022,3.571,3.321
9/8/2022,3.491,3.292
9/7/2022,3.447,3.265
9/6/2022,3.501,3.34
9/2/2022,3.398,3.191
9/1/2022,3.522,3.265
8/31/2022,3.45,3.132
8/30/2022,3.466,3.11
8/29/2022,3.427,3.11
8/26/2022,3.393,3.035
8/25/2022,3.374,3.024
8/24/2022,3.386,3.106
8/23/2022,3.306,3.054
8/22/2022,3.337,3.035
8/19/2022,3.265,2.989
8/18/2022,3.235,2.88
8/17/2022,3.295,2.895
8/16/2022,3.251,2.824
8/15/2022,3.203,2.791
8/12/2022,3.257,2.849
8/11/2022,3.229,2.888
8/10/2022,3.214,2.786
8/9/2022,3.286,2.797
8/8/2022,3.216,2.763
8/5/2022,3.248,2.84
8/4/2022,3.037,2.676
8/3/2022,3.108,2.748
8/2/2022,3.079,2.741
8/1/2022,2.909,2.605
7/29/2022,2.897,2.642
7/28/2022,2.877,2.681
7/27/2022,2.972,2.732
7/26/2022,3.043,2.787
7/25/2022,3.037,2.82
7/22/2022,2.991,2.781
7/21/2022,3.095,2.908
7/20/2022,3.25,3.036
7/19/2022,3.231,3.019
7/18/2022,3.16,2.96
7/15/2022,3.135,2.93
7/14/2022,3.145,2.959
7/13/2022,3.144,2.906
7/12/2022,3.043,2.958
7/11/2022,3.07,2.991
7/8/2022,3.121,3.101
7/7/2022,3.041,3.008
7/6/2022,2.961,2.911
7/5/2022,2.816,2.811
7/1/2022,2.845,2.904
6/30/2022,2.927,2.974
6/29/2022,3.053,3.093
6/28/2022,3.124,3.207
6/27/2022,3.123,3.194
